task_id,solver,score,cost,elapsed
task001,,0,0,0
task002,,0,0,0
task003,,0,0,0
task004,,0,0,0
task005,,0,0,0
task006,,0,0,0
task007,,0,0,0
task008,,0,0,0
task009,,0,0,0
task010,,0,0,0
task011,,0,0,0
task012,,0,0,0
task013,,0,0,0
task014,ColorBBoxCropSolver,17.06656161237251,2789,0.020802021026611328
task015,,0,0,0
task016,,0,0,0
task017,,0,0,0
task018,,0,0,0
task019,,0,0,0
task020,,0,0,0
task021,,0,0,0
task022,,0,0,0
task023,,0,0,0
task024,,0,0,0
task025,,0,0,0
task026,,0,0,0
task027,,0,0,0
task028,,0,0,0
task029,,0,0,0
task030,,0,0,0
task031,TrimBBoxSolver,15.577941094379074,12358,11.682957172393799
task032,GravitySolver,19.089203355959473,369,0.0008428096771240234
task033,,0,0,0
task034,,0,0,0
task035,,0,0,0
task036,ColorBBoxCropSolver,17.06656161237251,2789,0.019520044326782227
task037,,0,0,0
task038,,0,0,0
task039,,0,0,0
task040,,0,0,0
task041,,0,0,0
task042,,0,0,0
task043,,0,0,0
task044,,0,0,0
task045,,0,0,0
task046,,0,0,0
task047,,0,0,0
task048,,0,0,0
task049,ColorBBoxCropSolver,17.06656161237251,2789,0.013092756271362305
task050,,0,0,0
task051,,0,0,0
task052,,0,0,0
task053,TranslateSolver,20.030186700424,144,0.0023429393768310547
task054,,0,0,0
task055,,0,0,0
task056,,0,0,0
task057,,0,0,0
task058,,0,0,0
task059,,0,0,0
task060,,0,0,0
task061,,0,0,0
task062,,0,0,0
task063,,0,0,0
task064,,0,0,0
task065,,0,0,0
task066,,0,0,0
task067,,0,0,0
task068,,0,0,0
task069,,0,0,0
task070,,0,0,0
task071,,0,0,0
task072,,0,0,0
task073,,0,0,0
task074,,0,0,0
task075,,0,0,0
task076,,0,0,0
task077,,0,0,0
task078,GravitySolver,19.089203355959473,369,0.0013251304626464844
task079,,0,0,0
task080,,0,0,0
task081,,0,0,0
task082,,0,0,0
task083,,0,0,0
task084,,0,0,0
task085,,0,0,0
task086,,0,0,0
task087,SpatialSolver,19.711732969305466,198,0.003204822540283203
task088,,0,0,0
task089,,0,0,0
task090,,0,0,0
task091,,0,0,0
task092,,0,0,0
task093,,0,0,0
task094,,0,0,0
task095,,0,0,0
task096,,0,0,0
task097,,0,0,0
task098,,0,0,0
task099,,0,0,0
task100,,0,0,0
task101,,0,0,0
task102,,0,0,0
task103,,0,0,0
task104,,0,0,0
task105,,0,0,0
task106,,0,0,0
task107,,0,0,0
task108,,0,0,0
task109,,0,0,0
task110,,0,0,0
task111,,0,0,0
task112,,0,0,0
task113,,0,0,0
task114,,0,0,0
task115,,0,0,0
task116,,0,0,0
task117,,0,0,0
task118,,0,0,0
task119,,0,0,0
task120,,0,0,0
task121,,0,0,0
task122,,0,0,0
task123,,0,0,0
task124,,0,0,0
task125,,0,0,0
task126,,0,0,0
task127,,0,0,0
task128,,0,0,0
task129,,0,0,0
task130,,0,0,0
task131,,0,0,0
task132,,0,0,0
task133,,0,0,0
task134,,0,0,0
task135,FixedCropSolver,20.030186700424,144,0.00972890853881836
task136,,0,0,0
task137,,0,0,0
task138,,0,0,0
task139,,0,0,0
task140,SpatialSolver,19.711732969305466,198,0.003390789031982422
task141,,0,0,0
task142,,0,0,0
task143,,0,0,0
task144,,0,0,0
task145,,0,0,0
task146,,0,0,0
task147,,0,0,0
task148,,0,0,0
task149,,0,0,0
task150,SpatialSolver,18.451780897237626,698,0.0071849822998046875
task151,,0,0,0
task152,,0,0,0
task153,,0,0,0
task154,,0,0,0
task155,SpatialSolver,18.73279945145864,527,0.004624128341674805
task156,,0,0,0
task157,,0,0,0
task158,,0,0,0
task159,,0,0,0
task160,,0,0,0
task161,,0,0,0
task162,,0,0,0
task163,,0,0,0
task164,,0,0,0
task165,,0,0,0
task166,,0,0,0
task167,,0,0,0
task168,,0,0,0
task169,,0,0,0
task170,,0,0,0
task171,,0,0,0
task172,,0,0,0
task173,,0,0,0
task174,,0,0,0
task175,,0,0,0
task176,,0,0,0
task177,ColorBBoxPreserveFlipSolver,17.099363386981995,2699,0.009814739227294922
task178,,0,0,0
task179,SpatialSolver,20.030186700424,144,0.0020780563354492188
task180,,0,0,0
task181,,0,0,0
task182,,0,0,0
task183,,0,0,0
task184,,0,0,0
task185,,0,0,0
task186,,0,0,0
task187,,0,0,0
task188,,0,0,0
task189,,0,0,0
task190,,0,0,0
task191,,0,0,0
task192,,0,0,0
task193,,0,0,0
task194,,0,0,0
task195,,0,0,0
task196,,0,0,0
task197,,0,0,0
task198,,0,0,0
task199,,0,0,0
task200,,0,0,0
task201,,0,0,0
task202,,0,0,0
task203,,0,0,0
task204,,0,0,0
task205,,0,0,0
task206,,0,0,0
task207,,0,0,0
task208,,0,0,0
task209,,0,0,0
task210,,0,0,0
task211,,0,0,0
task212,,0,0,0
task213,,0,0,0
task214,,0,0,0
task215,,0,0,0
task216,,0,0,0
task217,,0,0,0
task218,,0,0,0
task219,,0,0,0
task220,,0,0,0
task221,,0,0,0
task222,,0,0,0
task223,UpscaleSolver,20.31786877287578,108,0.0036649703979492188
task224,,0,0,0
task225,,0,0,0
task226,,0,0,0
task227,,0,0,0
task228,,0,0,0
task229,,0,0,0
task230,,0,0,0
task231,,0,0,0
task232,,0,0,0
task233,,0,0,0
task234,,0,0,0
task235,,0,0,0
task236,,0,0,0
task237,,0,0,0
task238,,0,0,0
task239,,0,0,0
task240,,0,0,0
task241,SpatialSolver,18.341988954129253,779,0.014510869979858398
task242,,0,0,0
task243,,0,0,0
task244,,0,0,0
task245,,0,0,0
task246,,0,0,0
task247,,0,0,0
task248,,0,0,0
task249,,0,0,0
task250,,0,0,0
task251,,0,0,0
task252,,0,0,0
task253,,0,0,0
task254,,0,0,0
task255,,0,0,0
task256,,0,0,0
task257,,0,0,0
task258,,0,0,0
task259,,0,0,0
task260,,0,0,0
task261,,0,0,0
task262,,0,0,0
task263,,0,0,0
task264,,0,0,0
task265,,0,0,0
task266,,0,0,0
task267,,0,0,0
task268,,0,0,0
task269,,0,0,0
task270,,0,0,0
task271,,0,0,0
task272,,0,0,0
task273,,0,0,0
task274,,0,0,0
task275,,0,0,0
task276,ColorPermSolver,13.586894870311983,90500,0.001405954360961914
task277,,0,0,0
task278,,0,0,0
task279,,0,0,0
task280,,0,0,0
task281,,0,0,0
task282,,0,0,0
task283,,0,0,0
task284,,0,0,0
task285,,0,0,0
task286,,0,0,0
task287,,0,0,0
task288,,0,0,0
task289,,0,0,0
task290,,0,0,0
task291,,0,0,0
task292,,0,0,0
task293,,0,0,0
task294,,0,0,0
task295,,0,0,0
task296,,0,0,0
task297,,0,0,0
task298,,0,0,0
task299,,0,0,0
task300,ColorCountCropSolver,17.680797541232153,1509,0.007868766784667969
task301,,0,0,0
task302,,0,0,0
task303,,0,0,0
task304,,0,0,0
task305,,0,0,0
task306,,0,0,0
task307,UpscaleSolver,20.31786877287578,108,0.002566099166870117
task308,,0,0,0
task309,ColorPermSolver,13.586894870311983,90500,0.0007238388061523438
task310,ColorCountPreserveCropSolver,17.732474572171828,1433,0.013776063919067383
task311,,0,0,0
task312,,0,0,0
task313,,0,0,0
task314,,0,0,0
task315,,0,0,0
task316,,0,0,0
task317,,0,0,0
task318,,0,0,0
task319,,0,0,0
task320,,0,0,0
task321,,0,0,0
task322,,0,0,0
task323,,0,0,0
task324,,0,0,0
task325,,0,0,0
task326,FixedCropSolver,20.030186700424,144,0.004479885101318359
task327,,0,0,0
task328,,0,0,0
task329,,0,0,0
task330,,0,0,0
task331,,0,0,0
task332,,0,0,0
task333,,0,0,0
task334,,0,0,0
task335,,0,0,0
task336,,0,0,0
task337,,0,0,0
task338,,0,0,0
task339,,0,0,0
task340,,0,0,0
task341,,0,0,0
task342,,0,0,0
task343,,0,0,0
task344,,0,0,0
task345,,0,0,0
task346,,0,0,0
task347,,0,0,0
task348,,0,0,0
task349,,0,0,0
task350,,0,0,0
task351,,0,0,0
task352,,0,0,0
task353,,0,0,0
task354,,0,0,0
task355,,0,0,0
task356,,0,0,0
task357,,0,0,0
task358,,0,0,0
task359,,0,0,0
task360,,0,0,0
task361,,0,0,0
task362,,0,0,0
task363,,0,0,0
task364,,0,0,0
task365,,0,0,0
task366,,0,0,0
task367,,0,0,0
task368,,0,0,0
task369,,0,0,0
task370,,0,0,0
task371,,0,0,0
task372,,0,0,0
task373,,0,0,0
task374,,0,0,0
task375,,0,0,0
task376,,0,0,0
task377,,0,0,0
task378,,0,0,0
task379,,0,0,0
task380,,0,0,0
task381,,0,0,0
task382,,0,0,0
task383,,0,0,0
task384,,0,0,0
task385,,0,0,0
task386,,0,0,0
task387,,0,0,0
task388,,0,0,0
task389,,0,0,0
task390,,0,0,0
task391,,0,0,0
task392,,0,0,0
task393,,0,0,0
task394,,0,0,0
task395,,0,0,0
task396,,0,0,0
task397,,0,0,0
task398,,0,0,0
task399,,0,0,0
task400,,0,0,0
